Epoch Number 134 - Training Accuracy: 92.54166666666667 | Validation Error: 92.85 | Generalization Accuracy: 92.575
Epoch Number 135 - Training Accuracy: 92.575 | Validation Error: 92.9 | Generalization Accuracy: 92.60000000000001
Epoch Number 136 - Training Accuracy: 92.66666666666666 | Validation Error: 93.05 | Generalization Accuracy: 92.575
Epoch Number 137 - Training Accuracy: 92.66666666666666 | Validation Error: 93.025 | Generalization Accuracy: 92.60000000000001
Epoch Number 138 - Training Accuracy: 92.55833333333334 | Validation Error: 93.075 | Generalization Accuracy: 92.575
Epoch Number 139 - Training Accuracy: 92.60833333333333 | Validation Error: 93.15 | Generalization Accuracy: 92.55
Epoch Number 140 - Training Accuracy: 92.63333333333334 | Validation Error: 93.0 | Generalization Accuracy: 92.675
Epoch Number 141 - Training Accuracy: 92.675 | Validation Error: 93.175 | Generalization Accuracy: 92.55
Epoch Number 142 - Training Accuracy: 92.575 | Validation Error: 93.22500000000001 | Generalization Accuracy: 92.60000000000001
Epoch Number 143 - Training Accuracy: 92.60833333333333 | Validation Error: 93.27499999999999 | Generalization Accuracy: 92.65
Epoch Number 144 - Training Accuracy: 92.675 | Validation Error: 93.25 | Generalization Accuracy: 92.75
Epoch Number 145 - Training Accuracy: 92.68333333333332 | Validation Error: 93.25 | Generalization Accuracy: 92.7
Epoch Number 146 - Training Accuracy: 92.78333333333333 | Validation Error: 93.27499999999999 | Generalization Accuracy: 92.75
Epoch Number 147 - Training Accuracy: 92.78333333333333 | Validation Error: 93.27499999999999 | Generalization Accuracy: 92.72500000000001
Epoch Number 148 - Training Accuracy: 92.80833333333334 | Validation Error: 93.325 | Generalization Accuracy: 92.825
Epoch Number 149 - Training Accuracy: 93.025 | Validation Error: 93.425 | Generalization Accuracy: 92.80000000000001
Epoch Number 150 - Training Accuracy: 92.96666666666667 | Validation Error: 93.4 | Generalization Accuracy: 92.80000000000001
Epoch Number 151 - Training Accuracy: 93.09166666666667 | Validation Error: 93.375 | Generalization Accuracy: 92.825
Epoch Number 152 - Training Accuracy: 93.00833333333334 | Validation Error: 93.45 | Generalization Accuracy: 92.925
Epoch Number 153 - Training Accuracy: 92.90833333333333 | Validation Error: 93.5 | Generalization Accuracy: 92.85
Epoch Number 154 - Training Accuracy: 92.91666666666667 | Validation Error: 93.475 | Generalization Accuracy: 92.9
Epoch Number 155 - Training Accuracy: 93.05833333333334 | Validation Error: 93.55 | Generalization Accuracy: 92.875
Epoch Number 156 - Training Accuracy: 92.99166666666666 | Validation Error: 93.475 | Generalization Accuracy: 92.75
Epoch Number 157 - Training Accuracy: 93.03333333333333 | Validation Error: 93.525 | Generalization Accuracy: 92.925
Epoch Number 158 - Training Accuracy: 92.95 | Validation Error: 93.375 | Generalization Accuracy: 92.80000000000001
Epoch Number 159 - Training Accuracy: 92.99166666666666 | Validation Error: 93.5 | Generalization Accuracy: 92.85
Epoch Number 160 - Training Accuracy: 92.99166666666666 | Validation Error: 93.425 | Generalization Accuracy: 92.925
Epoch Number 161 - Training Accuracy: 93.11666666666667 | Validation Error: 93.4 | Generalization Accuracy: 92.925
Epoch Number 162 - Training Accuracy: 93.175 | Validation Error: 93.45 | Generalization Accuracy: 92.85
Epoch Number 163 - Training Accuracy: 93.19166666666666 | Validation Error: 93.55 | Generalization Accuracy: 92.9
Epoch Number 164 - Training Accuracy: 93.25833333333333 | Validation Error: 93.55 | Generalization Accuracy: 92.95
Epoch Number 165 - Training Accuracy: 93.21666666666667 | Validation Error: 93.575 | Generalization Accuracy: 92.95
Epoch Number 166 - Training Accuracy: 93.25 | Validation Error: 93.5 | Generalization Accuracy: 93.025
Epoch Number 167 - Training Accuracy: 93.2 | Validation Error: 93.45 | Generalization Accuracy: 92.975
Epoch Number 168 - Training Accuracy: 93.16666666666666 | Validation Error: 93.525 | Generalization Accuracy: 93.025
